,,,,,,,,,,,,,,,
,,,Event,Date,,Time,Total trip time,S t a t u s,Place,Slip,Total Distance,Avg speed,FOC,LOAD ,RPM
,,,EOSP,06/27/2024,,04:00:00 AM,23.1597222222222,,Arrival .RWS,22.3,119.2,5.14686656671664,6.8  ,32%,121.5
,,,,,,,,,,,,,  ,,
,,,FAOP,06/28/2024,,04:36:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,06/28/2024,,02:30:00 PM,0.6875,,Arrival.KHL .KP ,18.9,108.9,158.4,6.6  ,36%,128.4
,,,,,,,,,,,,,  ,,
,,,FAOP,06/29/2024,,05:36:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,06/30/2024,,04:00:00 AM,23.0555555555556,,Arrival .RWS,17.2,110.6,4.79710843373494,5.9  ,32%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,07/01/2024,,04:36:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,07/01/2024,,03:30:00 PM,0.756944444444445,,Arrival.KHL .KP ,18.1,114.6,151.398165137615,6.  ,32%,120.5
,,,,,,,,,,,,,  ,,
,,,FAOP,07/02/2024,,01:36:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,07/03/2024,,01:30:00 AM,23.1597222222222,,Arrival .RWS,25.9,113.2,4.88779610194903,6.6  ,31%,120.9
,,,,,,,,,,,,,  ,,
,,,FAOP,07/04/2024,,01:36:00 AM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,07/04/2024,,10:00:00 AM,0.583333333333334,,Arrival.KHL .KP ,16.6,107.3,183.942857142857,7.5  ,56%,144.3
,,,,,,,,,,,,,  ,,
,,,FAOP,07/05/2024,,09:06:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,07/05/2024,,09:00:00 PM,0.826388888888889,,Arrival .RWS,24.1,117.8,142.547899159664,6.8  ,33%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,07/06/2024,,07:36:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,07/07/2024,,07:30:00 AM,23.1597222222222,,Arrival.KHL .KP ,20.5,121.5,5.24617691154423,5.9  ,32%,121
,,,,,,,,,,,,,  ,,
,,,FAOP,07/08/2024,,06:36:00 AM,,,Out to Sea (  KP  → RWS ),,,,  ,,
,,,EOSP,07/08/2024,,02:42:00 PM,0.5625,,Arrival .RWS,28,105,186.666666666667,6.4  ,7300%,157.8
,,,,,,,,,,,,,  ,,
,,,FAOP,07/09/2024,,04:06:00 PM,,,Out to Sea ( RWS → KP  ),,,,  ,,
,,,EOSP,07/10/2024,,04:00:00 AM,23.1597222222222,,Arrival.KHL .KP ,25.5,114.3,4.93529235382309,5.  ,32%,121.5
,,,,,,,,,,,,,  ,,
,,,FAOP,07/10/2024,,10:06:00 PM,,,Out to Sea (  KP  → RWS ),,,,  ,,
